,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,alcohol*chlorides,alcohol*citric acid,alcohol*density,alcohol*fixed acidity,alcohol*free sulfur dioxide,alcohol*pH,alcohol*residual sugar,alcohol*sulphates,alcohol*total sulfur dioxide,alcohol*volatile acidity,chlorides*citric acid,chlorides*density,chlorides*fixed acidity,chlorides*free sulfur dioxide,chlorides*pH,chlorides*residual sugar,chlorides*sulphates,chlorides*total sulfur dioxide,chlorides*volatile acidity,citric acid*density,citric acid*fixed acidity,citric acid*free sulfur dioxide,citric acid*pH,citric acid*residual sugar,citric acid*sulphates,citric acid*total sulfur dioxide,citric acid*volatile acidity,density*fixed acidity,density*free sulfur dioxide,density*pH,density*residual sugar,density*sulphates,density*total sulfur dioxide,density*volatile acidity,fixed acidity*free sulfur dioxide,fixed acidity*pH,fixed acidity*residual sugar,fixed acidity*sulphates,fixed acidity*total sulfur dioxide,fixed acidity*volatile acidity,free sulfur dioxide*pH,free sulfur dioxide*residual sugar,free sulfur dioxide*sulphates,free sulfur dioxide*total sulfur dioxide,free sulfur dioxide*volatile acidity,pH*residual sugar,pH*sulphates,pH*total sulfur dioxide,pH*volatile acidity,residual sugar*sulphates,residual sugar*total sulfur dioxide,residual sugar*volatile acidity,sulphates*total sulfur dioxide,sulphates*volatile acidity,total sulfur dioxide*volatile acidity,alcohol**2,chlorides**2,citric acid**2,density**2,fixed acidity**2,free sulfur dioxide**2,pH**2,residual sugar**2,sulphates**2,total sulfur dioxide**2,volatile acidity**2
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0.7144,0.0,9.37932,69.56,103.4,32.994,17.86,5.264000000000001,319.6,6.58,0.0,0.0758328,0.5624,0.836,0.26676,0.1444,0.04256,2.584,0.0532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38372,10.9758,3.502278,1.89582,0.558768,33.925200000000004,0.69846,81.4,25.974,14.06,4.144000000000001,251.60000000000002,5.18,38.61,20.9,6.16,374.0,7.699999999999999,6.669,1.9656,119.33999999999999,2.457,1.064,64.6,1.3299999999999998,19.040000000000003,0.392,23.799999999999997,88.36000000000001,0.005776,0.0,0.99560484,54.760000000000005,121.0,12.320099999999998,3.61,0.31360000000000005,1156.0,0.48999999999999994
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,0.9604000000000001,0.0,9.768640000000001,76.44,245.00000000000003,31.360000000000003,25.480000000000004,6.664000000000001,656.6,8.624,0.0,0.0976864,0.7644,2.45,0.31360000000000005,0.2548,0.06664,6.566,0.08624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77504,24.92,3.18976,2.59168,0.6778240000000001,66.7856,0.8771840000000001,195.0,24.96,20.28,5.304,522.6,6.864,80.0,65.0,17.0,1675.0,22.0,8.32,2.176,214.4,2.8160000000000003,1.7680000000000002,174.20000000000002,2.2880000000000003,45.56,0.5984,58.96,96.04000000000002,0.009604000000000001,0.0,0.9936102400000001,60.839999999999996,625.0,10.240000000000002,6.760000000000001,0.4624000000000001,4489.0,0.7744
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,0.9016000000000001,0.392,9.7706,76.44,147.0,31.948,22.54,6.370000000000001,529.2,7.448,0.00368,0.091724,0.7176,1.38,0.29991999999999996,0.21159999999999998,0.0598,4.968,0.06992,0.03988,0.312,0.6,0.1304,0.092,0.026000000000000002,2.16,0.0304,7.7766,14.955,3.2502199999999997,2.2931,0.64805,53.838,0.7577200000000001,117.0,25.427999999999997,17.939999999999998,5.07,421.2,5.928,48.9,34.5,9.75,810.0,11.4,7.497999999999999,2.1189999999999998,176.04,2.4776,1.4949999999999999,124.19999999999999,1.7479999999999998,35.1,0.49400000000000005,41.04,96.04000000000002,0.008464,0.0016,0.994009,60.839999999999996,225.0,10.6276,5.289999999999999,0.42250000000000004,2916.0,0.5776
3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,0.735,5.488000000000001,9.7804,109.76,166.60000000000002,30.968000000000004,18.62,5.684,588.0,2.7440000000000007,0.042,0.07485,0.84,1.275,0.237,0.1425,0.0435,4.5,0.021,0.55888,6.272,9.520000000000001,1.7696000000000003,1.064,0.32480000000000003,33.6,0.15680000000000002,11.1776,16.966,3.15368,1.8961999999999999,0.5788399999999999,59.88,0.27944,190.39999999999998,35.391999999999996,21.279999999999998,6.4959999999999996,672.0,3.136,53.72,32.3,9.86,1020.0,4.760000000000001,6.004,1.8328,189.60000000000002,0.8848000000000001,1.1019999999999999,114.0,0.532,34.8,0.16240000000000002,16.8,96.04000000000002,0.005625,0.31360000000000005,0.996004,125.43999999999998,289.0,9.985600000000002,3.61,0.3364,3600.0,0.07840000000000001
4,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0.7144,0.0,9.37932,69.56,103.4,32.994,17.86,5.264000000000001,319.6,6.58,0.0,0.0758328,0.5624,0.836,0.26676,0.1444,0.04256,2.584,0.0532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38372,10.9758,3.502278,1.89582,0.558768,33.925200000000004,0.69846,81.4,25.974,14.06,4.144000000000001,251.60000000000002,5.18,38.61,20.9,6.16,374.0,7.699999999999999,6.669,1.9656,119.33999999999999,2.457,1.064,64.6,1.3299999999999998,19.040000000000003,0.392,23.799999999999997,88.36000000000001,0.005776,0.0,0.99560484,54.760000000000005,121.0,12.320099999999998,3.61,0.31360000000000005,1156.0,0.48999999999999994
5,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,0.705,0.0,9.37932,69.56,122.2,32.994,16.92,5.264000000000001,376.0,6.204000000000001,0.0,0.074835,0.555,0.975,0.26325,0.135,0.042,3.0,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38372,12.971400000000001,3.502278,1.79604,0.558768,39.912,0.658548,96.2,25.974,13.32,4.144000000000001,296.0,4.884,45.629999999999995,23.400000000000002,7.280000000000001,520.0,8.58,6.318,1.9656,140.39999999999998,2.3165999999999998,1.0080000000000002,72.0,1.1880000000000002,22.400000000000002,0.36960000000000004,26.400000000000002,88.36000000000001,0.005625,0.0,0.99560484,54.760000000000005,169.0,12.320099999999998,3.24,0.31360000000000005,1600.0,0.43560000000000004
6,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,0.6486000000000001,0.564,9.36616,74.26,141.0,31.02,15.040000000000001,4.324000000000001,554.6,5.64,0.0041400000000000005,0.0687516,0.5451,1.0350000000000001,0.2277,0.11040000000000001,0.031740000000000004,4.071000000000001,0.0414,0.059784,0.474,0.8999999999999999,0.19799999999999998,0.096,0.0276,3.54,0.036,7.87156,14.946,3.2881199999999997,1.59424,0.458344,58.7876,0.5978399999999999,118.5,26.07,12.64,3.6340000000000003,466.1,4.74,49.5,24.0,6.9,885.0,9.0,5.28,1.518,194.7,1.9799999999999998,0.7360000000000001,94.4,0.96,27.14,0.276,35.4,88.36000000000001,0.0047610000000000005,0.0036,0.9928129599999999,62.410000000000004,225.0,10.889999999999999,2.5600000000000005,0.2116,3481.0,0.36
7,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,0.65,0.0,9.946,73.0,150.0,33.9,12.0,4.699999999999999,210.0,6.5,0.0,0.064649,0.4745,0.9750000000000001,0.22035000000000002,0.078,0.03055,1.365,0.04225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26058,14.919,3.371694,1.19352,0.467462,20.8866,0.64649,109.5,24.747,8.76,3.4309999999999996,153.29999999999998,4.745,50.85,18.0,7.05,315.0,9.75,4.068,1.5933,71.19,2.2035,0.564,25.2,0.78,9.87,0.3055,13.65,100.0,0.0042250000000000005,0.0,0.98922916,53.29,225.0,11.4921,1.44,0.22089999999999999,441.0,0.42250000000000004
8,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,0.6935,0.19,9.4696,74.1,85.5,31.919999999999998,19.0,5.414999999999999,171.0,5.51,0.00146,0.0727664,0.5693999999999999,0.6569999999999999,0.24527999999999997,0.146,0.041609999999999994,1.3139999999999998,0.042339999999999996,0.019936000000000002,0.156,0.18,0.0672,0.04,0.011399999999999999,0.36,0.0116,7.77504,8.9712,3.349248,1.9936,0.568176,17.9424,0.578144,70.2,26.208,15.6,4.446,140.4,4.524,30.24,18.0,5.13,162.0,5.22,6.72,1.9151999999999998,60.48,1.9487999999999999,1.14,36.0,1.16,10.26,0.33059999999999995,10.44,90.25,0.0053289999999999995,0.0004,0.9936102400000001,60.839999999999996,81.0,11.289599999999998,4.0,0.32489999999999997,324.0,0.3364
9,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,0.7454999999999999,3.78,10.4769,78.75,178.5,35.175000000000004,64.05,8.4,1071.0,5.25,0.025559999999999996,0.0708438,0.5325,1.2069999999999999,0.23784999999999998,0.43309999999999993,0.056799999999999996,7.241999999999999,0.0355,0.35920799999999997,2.6999999999999997,6.12,1.206,2.1959999999999997,0.288,36.72,0.18,7.4835,16.962600000000002,3.34263,6.08658,0.7982400000000001,101.7756,0.4989,127.5,25.125,45.75,6.0,765.0,3.75,56.95,103.69999999999999,13.600000000000001,1734.0,8.5,20.435,2.68,341.7,1.675,4.88,622.1999999999999,3.05,81.60000000000001,0.4,51.0,110.25,0.0050409999999999995,0.1296,0.99560484,56.25,289.0,11.2225,37.209999999999994,0.6400000000000001,10404.0,0.25
