,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,alcohol*chlorides,alcohol*citric acid,alcohol*density,alcohol*fixed acidity,alcohol*free sulfur dioxide,alcohol*pH,alcohol*residual sugar,alcohol*sulphates,alcohol*total sulfur dioxide,alcohol*volatile acidity,chlorides*citric acid,chlorides*density,chlorides*fixed acidity,chlorides*free sulfur dioxide,chlorides*pH,chlorides*residual sugar,chlorides*sulphates,chlorides*total sulfur dioxide,chlorides*volatile acidity,citric acid*density,citric acid*fixed acidity,citric acid*free sulfur dioxide,citric acid*pH,citric acid*residual sugar,citric acid*sulphates,citric acid*total sulfur dioxide,citric acid*volatile acidity,density*fixed acidity,density*free sulfur dioxide,density*pH,density*residual sugar,density*sulphates,density*total sulfur dioxide,density*volatile acidity,fixed acidity*free sulfur dioxide,fixed acidity*pH,fixed acidity*residual sugar,fixed acidity*sulphates,fixed acidity*total sulfur dioxide,fixed acidity*volatile acidity,free sulfur dioxide*pH,free sulfur dioxide*residual sugar,free sulfur dioxide*sulphates,free sulfur dioxide*total sulfur dioxide,free sulfur dioxide*volatile acidity,pH*residual sugar,pH*sulphates,pH*total sulfur dioxide,pH*volatile acidity,residual sugar*sulphates,residual sugar*total sulfur dioxide,residual sugar*volatile acidity,sulphates*total sulfur dioxide,sulphates*volatile acidity,total sulfur dioxide*volatile acidity,alcohol**2,chlorides**2,citric acid**2,density**2,fixed acidity**2,free sulfur dioxide**2,pH**2,residual sugar**2,sulphates**2,total sulfur dioxide**2,volatile acidity**2
0,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,0.396,3.168,8.8088,61.60000000000001,396.00000000000006,26.400000000000002,182.16,3.9600000000000004,1496.0000000000002,2.3760000000000003,0.0162,0.045044999999999995,0.315,2.025,0.135,0.9314999999999999,0.02025,7.6499999999999995,0.012150000000000001,0.36035999999999996,2.52,16.2,1.08,7.451999999999999,0.162,61.199999999999996,0.09720000000000001,7.007,45.044999999999995,3.0029999999999997,20.720699999999997,0.45044999999999996,170.17,0.27027,315.0,21.0,144.9,3.15,1190.0,1.8900000000000001,135.0,931.5,20.25,7650.0,12.15,62.099999999999994,1.35,510.0,0.81,9.315,3519.0,5.589,76.5,0.12150000000000001,45.900000000000006,77.44000000000001,0.002025,0.1296,1.0020009999999997,49.0,2025.0,9.0,428.48999999999995,0.2025,28900.0,0.0729
1,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.9940000000000001,3.3,0.49,9.5,6,0.4655,3.2300000000000004,9.443000000000001,59.85,133.0,31.349999999999998,15.200000000000001,4.655,1254.0,2.85,0.01666,0.048706000000000006,0.30870000000000003,0.686,0.1617,0.07840000000000001,0.02401,6.468,0.0147,0.33796000000000004,2.142,4.760000000000001,1.122,0.544,0.1666,44.88,0.10200000000000001,6.262200000000001,13.916000000000002,3.2802000000000002,1.5904000000000003,0.48706000000000005,131.20800000000003,0.2982,88.2,20.79,10.08,3.0869999999999997,831.6,1.89,46.199999999999996,22.400000000000002,6.859999999999999,1848.0,4.2,5.28,1.617,435.59999999999997,0.9899999999999999,0.784,211.20000000000002,0.48,64.67999999999999,0.147,39.6,90.25,0.0024010000000000004,0.11560000000000002,0.9880360000000002,39.69,196.0,10.889999999999999,2.5600000000000005,0.24009999999999998,17424.0,0.09
2,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,0.505,4.04,10.05051,81.80999999999999,303.0,32.925999999999995,69.69,4.444,979.6999999999999,2.8280000000000003,0.020000000000000004,0.049755,0.405,1.5,0.163,0.34500000000000003,0.022000000000000002,4.8500000000000005,0.014000000000000002,0.39804,3.24,12.0,1.304,2.7600000000000002,0.17600000000000002,38.800000000000004,0.11200000000000002,8.06031,29.852999999999998,3.244026,6.8661900000000005,0.437844,96.5247,0.27862800000000004,243.0,26.406,55.89,3.564,785.6999999999999,2.2680000000000002,97.8,207.0,13.2,2910.0,8.4,22.494,1.4344,316.21999999999997,0.9128000000000001,3.036,669.3000000000001,1.9320000000000004,42.68,0.12320000000000002,27.160000000000004,102.00999999999999,0.0025000000000000005,0.16000000000000003,0.9902240099999999,65.61,900.0,10.6276,47.61000000000001,0.1936,9409.0,0.07840000000000001
3,7.2,0.23,0.32,8.5,0.057999999999999996,47.0,186.0,0.9956,3.19,0.4,9.9,6,0.5741999999999999,3.168,9.856440000000001,71.28,465.3,31.581,84.15,3.9600000000000004,1841.4,2.277,0.01856,0.0577448,0.41759999999999997,2.726,0.18502,0.493,0.0232,10.787999999999998,0.01334,0.31859200000000004,2.3040000000000003,15.040000000000001,1.0208,2.72,0.128,59.52,0.0736,7.1683200000000005,46.7932,3.175964,8.4626,0.39824000000000004,185.1816,0.22898800000000002,338.40000000000003,22.968,61.2,2.8800000000000003,1339.2,1.6560000000000001,149.93,399.5,18.8,8742.0,10.81,27.115,1.276,593.34,0.7337,3.4000000000000004,1581.0,1.955,74.4,0.09200000000000001,42.78,98.01,0.0033639999999999994,0.1024,0.9912193600000001,51.84,2209.0,10.1761,72.25,0.16000000000000003,34596.0,0.0529
4,7.2,0.23,0.32,8.5,0.057999999999999996,47.0,186.0,0.9956,3.19,0.4,9.9,6,0.5741999999999999,3.168,9.856440000000001,71.28,465.3,31.581,84.15,3.9600000000000004,1841.4,2.277,0.01856,0.0577448,0.41759999999999997,2.726,0.18502,0.493,0.0232,10.787999999999998,0.01334,0.31859200000000004,2.3040000000000003,15.040000000000001,1.0208,2.72,0.128,59.52,0.0736,7.1683200000000005,46.7932,3.175964,8.4626,0.39824000000000004,185.1816,0.22898800000000002,338.40000000000003,22.968,61.2,2.8800000000000003,1339.2,1.6560000000000001,149.93,399.5,18.8,8742.0,10.81,27.115,1.276,593.34,0.7337,3.4000000000000004,1581.0,1.955,74.4,0.09200000000000001,42.78,98.01,0.0033639999999999994,0.1024,0.9912193600000001,51.84,2209.0,10.1761,72.25,0.16000000000000003,34596.0,0.0529
5,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,0.505,4.04,10.05051,81.80999999999999,303.0,32.925999999999995,69.69,4.444,979.6999999999999,2.8280000000000003,0.020000000000000004,0.049755,0.405,1.5,0.163,0.34500000000000003,0.022000000000000002,4.8500000000000005,0.014000000000000002,0.39804,3.24,12.0,1.304,2.7600000000000002,0.17600000000000002,38.800000000000004,0.11200000000000002,8.06031,29.852999999999998,3.244026,6.8661900000000005,0.437844,96.5247,0.27862800000000004,243.0,26.406,55.89,3.564,785.6999999999999,2.2680000000000002,97.8,207.0,13.2,2910.0,8.4,22.494,1.4344,316.21999999999997,0.9128000000000001,3.036,669.3000000000001,1.9320000000000004,42.68,0.12320000000000002,27.160000000000004,102.00999999999999,0.0025000000000000005,0.16000000000000003,0.9902240099999999,65.61,900.0,10.6276,47.61000000000001,0.1936,9409.0,0.07840000000000001
6,6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6,0.432,1.536,9.55104,59.519999999999996,288.0,30.528,67.2,4.512,1305.6,3.072,0.0072,0.0447705,0.27899999999999997,1.3499999999999999,0.1431,0.315,0.02115,6.12,0.0144,0.159184,0.9920000000000001,4.8,0.5088,1.12,0.0752,21.76,0.0512,6.16838,29.847,3.1637820000000003,6.9643,0.467603,135.3064,0.318368,186.0,19.716,43.4,2.9139999999999997,843.2,1.9840000000000002,95.4,210.0,14.1,4080.0,9.6,22.26,1.4946,432.48,1.0176,3.29,952.0,2.24,63.919999999999995,0.1504,43.52,92.16,0.002025,0.0256,0.98982601,38.440000000000005,900.0,10.112400000000001,49.0,0.22089999999999999,18496.0,0.1024
7,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,0.396,3.168,8.8088,61.60000000000001,396.00000000000006,26.400000000000002,182.16,3.9600000000000004,1496.0000000000002,2.3760000000000003,0.0162,0.045044999999999995,0.315,2.025,0.135,0.9314999999999999,0.02025,7.6499999999999995,0.012150000000000001,0.36035999999999996,2.52,16.2,1.08,7.451999999999999,0.162,61.199999999999996,0.09720000000000001,7.007,45.044999999999995,3.0029999999999997,20.720699999999997,0.45044999999999996,170.17,0.27027,315.0,21.0,144.9,3.15,1190.0,1.8900000000000001,135.0,931.5,20.25,7650.0,12.15,62.099999999999994,1.35,510.0,0.81,9.315,3519.0,5.589,76.5,0.12150000000000001,45.900000000000006,77.44000000000001,0.002025,0.1296,1.0020009999999997,49.0,2025.0,9.0,428.48999999999995,0.2025,28900.0,0.0729
8,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.9940000000000001,3.3,0.49,9.5,6,0.4655,3.2300000000000004,9.443000000000001,59.85,133.0,31.349999999999998,15.200000000000001,4.655,1254.0,2.85,0.01666,0.048706000000000006,0.30870000000000003,0.686,0.1617,0.07840000000000001,0.02401,6.468,0.0147,0.33796000000000004,2.142,4.760000000000001,1.122,0.544,0.1666,44.88,0.10200000000000001,6.262200000000001,13.916000000000002,3.2802000000000002,1.5904000000000003,0.48706000000000005,131.20800000000003,0.2982,88.2,20.79,10.08,3.0869999999999997,831.6,1.89,46.199999999999996,22.400000000000002,6.859999999999999,1848.0,4.2,5.28,1.617,435.59999999999997,0.9899999999999999,0.784,211.20000000000002,0.48,64.67999999999999,0.147,39.6,90.25,0.0024010000000000004,0.11560000000000002,0.9880360000000002,39.69,196.0,10.889999999999999,2.5600000000000005,0.24009999999999998,17424.0,0.09
9,8.1,0.22,0.43,1.5,0.044000000000000004,28.0,129.0,0.9938,3.22,0.45,11.0,6,0.48400000000000004,4.7299999999999995,10.9318,89.1,308.0,35.42,16.5,4.95,1419.0,2.42,0.018920000000000003,0.04372720000000001,0.3564,1.2320000000000002,0.14168000000000003,0.066,0.0198,5.676,0.009680000000000001,0.427334,3.4829999999999997,12.04,1.3846,0.645,0.1935,55.47,0.0946,8.04978,27.8264,3.2000360000000003,1.4907,0.44721,128.2002,0.218636,226.79999999999998,26.082,12.149999999999999,3.645,1044.8999999999999,1.782,90.16000000000001,42.0,12.6,3612.0,6.16,4.83,1.449,415.38000000000005,0.7084,0.675,193.5,0.33,58.050000000000004,0.099,28.38,121.0,0.0019360000000000004,0.18489999999999998,0.98763844,65.61,784.0,10.368400000000001,2.25,0.2025,16641.0,0.0484
